img_dir,label
dataset/0.jpg,1
dataset/1.jpg,1
dataset/2.jpg,1
dataset/3.jpg,9
dataset/4.jpg,1
dataset/5.jpg,1
dataset/6.jpg,3
dataset/7.jpg,4
dataset/8.jpg,1
dataset/9.jpg,1
dataset/10.jpg,3
dataset/11.jpg,6
dataset/12.jpg,1
dataset/13.jpg,3
dataset/14.jpg,1
dataset/15.jpg,7
dataset/16.jpg,1
dataset/17.jpg,3
dataset/18.jpg,1
dataset/19.jpg,9
dataset/20.jpg,1
dataset/21.jpg,3
dataset/22.jpg,4
dataset/23.jpg,3
dataset/24.jpg,1
dataset/25.jpg,3
dataset/26.jpg,4
dataset/27.jpg,5
dataset/28.jpg,1
dataset/29.jpg,3
dataset/30.jpg,7
dataset/31.jpg,4
dataset/32.jpg,1
dataset/33.jpg,3
dataset/34.jpg,7
dataset/35.jpg,7
dataset/36.jpg,1
dataset/37.jpg,4
dataset/38.jpg,3
dataset/39.jpg,2
dataset/40.jpg,1
dataset/41.jpg,4
dataset/42.jpg,3
dataset/43.jpg,6
dataset/44.jpg,1
dataset/45.jpg,4
dataset/46.jpg,5
dataset/47.jpg,8
dataset/48.jpg,1
dataset/49.jpg,4
dataset/50.jpg,6
dataset/51.jpg,8
dataset/52.jpg,1
dataset/53.jpg,5
dataset/54.jpg,3
dataset/55.jpg,4
dataset/56.jpg,1
dataset/57.jpg,5
dataset/58.jpg,4
dataset/59.jpg,7
dataset/60.jpg,1
dataset/61.jpg,5
dataset/62.jpg,5
dataset/63.jpg,9
dataset/64.jpg,1
dataset/65.jpg,5
dataset/66.jpg,7
dataset/67.jpg,9
dataset/68.jpg,1
dataset/69.jpg,6
dataset/70.jpg,3
dataset/71.jpg,4
dataset/72.jpg,1
dataset/73.jpg,7
dataset/74.jpg,2
dataset/75.jpg,9
dataset/76.jpg,1
dataset/77.jpg,7
dataset/78.jpg,4
dataset/79.jpg,4
dataset/80.jpg,1
dataset/81.jpg,7
dataset/82.jpg,5
dataset/83.jpg,4
